Original Date (Y,M,D) -> 2020-2-12, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-9, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-27, Week Date (Y,M,W) -> 2020-04-5    
Original Date (Y,M,D) -> 2020-2-17, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-3-31, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-2-9, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-16, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-23, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-3-22, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-27, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-22, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-3, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-16, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-3-19, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-2-5, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-25, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-6, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-2-26, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-25, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-22, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-11, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-3-26, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-4, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-11, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-10, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-4-8, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-1-31, Week Date (Y,M,W) -> 2020-01-5    
Original Date (Y,M,D) -> 2020-3-1, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-21, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-2-7, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-22, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-1-30, Week Date (Y,M,W) -> 2020-01-5    
Original Date (Y,M,D) -> 2020-2-17, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-3-6, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-2-26, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-7, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-8, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-23, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-1-31, Week Date (Y,M,W) -> 2020-01-5    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-12, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-7, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-28, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-11, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-3-9, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-2-17, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-12, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-26, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-11, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-11, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-2-19, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-1-30, Week Date (Y,M,W) -> 2020-01-5    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-12, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-3-23, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-22, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-1, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-2-26, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-26, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-25, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-12, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-2-11, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-10, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-20, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-2-5, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-4-10, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-3-12, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-9, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-3-27, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-19, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-7, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-3, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-31, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-10, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-18, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-5, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-14, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-9, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-3-10, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-3-9, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-27, Week Date (Y,M,W) -> 2020-04-5    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-16, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-3-4, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-2-23, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-23, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-7, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-31, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-3-4, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-22, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-25, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-10, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-31, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-16, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-4-12, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-4, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-20, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-16, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-3-4, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-7, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-30, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-7, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-27, Week Date (Y,M,W) -> 2020-04-5    
Original Date (Y,M,D) -> 2020-3-20, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-3-17, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-3-29, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-20, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-2-9, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-2-4, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-2-12, Week Date (Y,M,W) -> 2020-02-3    
Original Date (Y,M,D) -> 2020-4-16, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-25, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-22, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-2-3, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-30, Week Date (Y,M,W) -> 2020-03-5    
Original Date (Y,M,D) -> 2020-2-23, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-4-7, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-13, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-12, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-2-26, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-3, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-2-27, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-1-31, Week Date (Y,M,W) -> 2020-01-5    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-3-3, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-22, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-15, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-18, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-3-24, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-3-27, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-25, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-2-6, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-2-17, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-21, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-20, Week Date (Y,M,W) -> 2020-03-3    
Original Date (Y,M,D) -> 2020-4-3, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-4-17, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-2-7, Week Date (Y,M,W) -> 2020-02-2    
Original Date (Y,M,D) -> 2020-3-9, Week Date (Y,M,W) -> 2020-03-2    
Original Date (Y,M,D) -> 2020-4-14, Week Date (Y,M,W) -> 2020-04-3    
Original Date (Y,M,D) -> 2020-4-20, Week Date (Y,M,W) -> 2020-04-4    
Original Date (Y,M,D) -> 2020-3-27, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-19, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-4-8, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-3-5, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-6, Week Date (Y,M,W) -> 2020-04-2    
Original Date (Y,M,D) -> 2020-4-2, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-2-24, Week Date (Y,M,W) -> 2020-02-5    
Original Date (Y,M,D) -> 2020-4-1, Week Date (Y,M,W) -> 2020-04-1    
Original Date (Y,M,D) -> 2020-3-26, Week Date (Y,M,W) -> 2020-03-4    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-2-21, Week Date (Y,M,W) -> 2020-02-4    
Original Date (Y,M,D) -> 2020-3-2, Week Date (Y,M,W) -> 2020-03-1    
Original Date (Y,M,D) -> 2020-4-9, Week Date (Y,M,W) -> 2020-04-2    
